"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Description__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","LLC_BI__sortOrder__c"
"a0XDm000000sHwAMAU","005Dm000000nnayIAA","","LLC Documentation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdiMAC","","","42665823565792883",""
"a0XDm000000sHwBMAU","005Dm000000nnayIAA","","Individual Specific Documents","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdiMAC","","","42664529759962450",""
"a0XDm000000sHwCMAU","005Dm000000nnayIAA","","Customer Agreements","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdjMAC","","","42094086748193833",""
"a0XDm000000sHwDMAU","005Dm000000nnayIAA","","Loan Documents","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdkMAC","","","42001100241001888",""
"a0XDm000000sHwEMAU","005Dm000000nnayIAA","","Underwriting","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdkMAC","","","42935672753285186",""
"a0XDm000000sHwFMAU","005Dm000000nnayIAA","","Compliance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdkMAC","","","42970056914907347",""
"a0XDm000000sHwGMAU","005Dm000000nnayIAA","","Appraisal","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdlMAC","","","42247367122445306",""
"a0XDm000000sHwHMAU","005Dm000000nnayIAA","","Collateral Documents","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdlMAC","","","a0XDm000000sHwHMAU",""
"a0XDm000000sHwIMAU","005Dm000000nnayIAA","","Real Estate Collateral","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdlMAC","","","42637522936295793",""
"a0XDm000000sHwJMAU","005Dm000000nnayIAA","","UCC Collateral","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdlMAC","","","42741653654880044",""
"a0XDm000000sHwKMAU","005Dm000000nnayIAA","","Titled Collateral","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdlMAC","","","42599373601156605",""
"a0XDm000000sHwLMAU","005Dm000000nnayIAA","","Closing Documents","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdkMAC","","","a0XDm000000sHwLMAU",""
"a0XDm000000sHwMMAU","005Dm000000nnayIAA","","Inspection","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0VDm000000XqdkMAC","","","a0XDm000000sHwMMAU",""
